Name,URL,Image
Remax/Ann,https://myseatosky.com/,https://remax-whistler.com/wp-content/uploads/2021/04/Balloon-REMAX-S2S-RGB-300.png
TELUS,https://www.telus.com/en,https://images.ctfassets.net/fltupc9ltp8m/1mJhVTaGbBqtjJtAgxtYOb/9bef5a01c1a0fd186a8e331e5a79baa8/TELUS-logo_media.pngg
Fairmont ,https://www.fairmont.com/whistler/,https://www.fairmont.com/assets/0/104/3477/3482/3483/b185d666-a03a-4000-9adc-5c3604890d7d.png
Arla,https://www.arlafoods.ca/,https://www.arlafoods.ca/UI/img/arla-logo.e700c018.svg
Team Wombat,https://wombats.alpental.com,https://wombats.alpental.com/wombat_sign.png

